word,ipa,prediction
ruralidad,r u ɾ a l i ˈd a d,r u ɾ a l i ˈd a d
difónicas,d i ˈf o n i k a s,d i ˈf o n i k a s
cautelados,k a u t e ˈl a d o s,k a u t e ˈl a d o s
proclamados,p ɾ o k l a ˈm a d o s,p ɾ o k l a ˈm a d o s
abajáremos,a b a ˈx a ɾ e m o s,a b a ˈx a ɾ e m o s
paracaidista,p a ɾ a k a i ˈd i s t a,p a ɾ a k a i ˈd i s t a
comprará,k o m p ɾ a ˈɾ a,k o m p ɾ a ˈɾ a
Cordillera,k o ɾ d i ˈʝ e ɾ a,k o ɾ d i ˈʝ e ɾ a
desfogados,d e s f o ˈɡ a d o s,d e s f o ˈɡ a d o s
Cardona,k a ɾ ˈd o n a,k a ɾ ˈd o n a
insumir,i n s u ˈm i ɾ,i n s u ˈm i ɾ
jugadas,x u ˈɡ a d a s,x u ˈɡ a d a s
substituidos,s u b s t i ˈt w i d o s,s u b s t i ˈt w i d o s
regido,r e ˈx i d o,r e ˈx i d o
repostear,r e p o s t e ˈa ɾ,r e p o s t e ˈa ɾ
disputáramos,d i s p u ˈt a ɾ a m o s,d i s p u ˈt a ɾ a m o s
libreta,l i ˈb ɾ e t a,l i ˈb ɾ e t a
apellidada,a p e ʝ i ˈd a d a,a p e ʝ i ˈd a d a
disputable,d i s p u ˈt a b l e,d i s p u ˈt a b l e
solaré,s o l a ˈɾ e,s o l a ˈɾ e
notro,ˈn o t ɾ o,ˈn o t ɾ o
estrígiles,e s ˈt ɾ i x i l e s,e s ˈt ɾ i x i l e s
tomatico,t o m a ˈt i k o,t o m a ˈt i k o
leninistas,l e n i ˈn i s t a s,l e n i ˈn i s t a s
angelino,a n x e ˈl i n o,a n x e ˈl i n o
sopladas,s o ˈp l a d a s,s o ˈp l a d a s
ahusados,a u ˈs a d o s,a u ˈs a d o s
onde,ˈo n d e,ˈo n d e
desafecta,d e s a ˈf e ɡ t a,d e s a ˈf e ɡ t a
fotografiados,f o t o ɡ ɾ a ˈf j a d o s,f o t o ɡ ɾ a ˈf j a d o s
traficante,t ɾ a f i ˈk a n t e,t ɾ a f i ˈk a n t e
parafraseadas,p a ɾ a f ɾ a s e ˈa d a s,p a ɾ a f ɾ a s e ˈa d a s
taponear,t a p o n e ˈa ɾ,t a p o n e ˈa ɾ
catalogadora,k a t a l o ɡ a ˈd o ɾ a,k a t a l o ɡ a ˈd o ɾ a
andén,a n ˈd e n,a n ˈd e n
colectivista,k o l e ɡ t i ˈb i s t a,k o l e ɡ t i ˈb i s t a
trapera,t ɾ a ˈp e ɾ a,t ɾ a ˈp e ɾ a
runa,ˈr u n a,ˈr u n a
taquito,t a ˈk i t o,t a ˈk i t o
fijar,f i ˈx a ɾ,f i ˈx a ɾ
